iter,labeled,acc,macro_f1,cost_human,cost_llm
0,10,0.5080275229357798,0.3450370212147581,50.0,10.0
1,20,0.5091743119266054,0.3373860182370821,100.0,20.0
2,30,0.4908256880733945,0.3292307692307692,150.0,30.0
3,40,0.4908256880733945,0.3862114448051948,200.0,40.0
4,50,0.5091743119266054,0.3373860182370821,250.0,50.0
5,60,0.4908256880733945,0.3292307692307692,300.0,60.0
6,70,0.5103211009174312,0.510134917345858,350.0,70.0
7,80,0.5068807339449541,0.48007432263789895,400.0,80.0
8,90,0.48853211009174313,0.3321105959127597,450.0,90.0
9,100,0.4793577981651376,0.39715547434140397,500.0,100.0
10,110,0.5217889908256881,0.3728014571571981,550.0,110.0
11,120,0.5137614678899083,0.39061181434599157,600.0,120.0
12,130,0.44724770642201833,0.44630398583563435,650.0,130.0
13,140,0.48623853211009177,0.32911557616348963,700.0,140.0
14,150,0.5068807339449541,0.3384428635953026,750.0,150.0
15,160,0.5045871559633027,0.35861392611964693,800.0,160.0
16,170,0.4908256880733945,0.3292307692307692,850.0,170.0
17,180,0.48509174311926606,0.3416765450158474,900.0,180.0
18,190,0.4919724770642202,0.3317314096409511,950.0,190.0
19,200,0.4908256880733945,0.3292307692307692,1000.0,200.0
20,210,0.4908256880733945,0.3292307692307692,1050.0,210.0
21,220,0.5504587155963303,0.5265385723466968,1100.0,220.0
22,230,0.48623853211009177,0.3271604938271605,1150.0,230.0
23,240,0.5011467889908257,0.3622033342581149,1200.0,240.0
24,250,0.4908256880733945,0.3292307692307692,1250.0,250.0
25,260,0.4908256880733945,0.3292307692307692,1300.0,260.0
26,270,0.48853211009174313,0.42089996724143064,1350.0,270.0
27,280,0.4908256880733945,0.3292307692307692,1400.0,280.0
28,290,0.4908256880733945,0.3292307692307692,1450.0,290.0
29,300,0.5,0.37173716181826594,1500.0,300.0
30,310,0.4908256880733945,0.3292307692307692,1550.0,310.0
